month,hour,day_of_week,dow_total,dow_duration
2022-02,21,Saturday,4197,0 days 00:11:05.172504169
2022-02,21,Sunday,3431,0 days 00:10:28.709997085
2022-02,21,Thursday,5768,0 days 00:10:25.209431345
2022-02,21,Tuesday,5033,0 days 00:10:35.343731372
2022-02,21,Wednesday,6506,0 days 00:10:39.034890869
2022-02,22,Friday,4331,0 days 00:10:55.195566843
2022-02,22,Monday,3230,0 days 00:10:06.897213622
2022-02,22,Saturday,3570,0 days 00:10:35.468907563
2022-02,22,Sunday,3798,0 days 00:10:15.916008425
2022-02,22,Thursday,3999,0 days 00:10:26.415103775
2022-02,22,Tuesday,3968,0 days 00:10:43.395917338
2022-02,22,Wednesday,5310,0 days 00:10:30.685499058
2022-02,23,Friday,3708,0 days 00:11:02.160194174
2022-02,23,Monday,2122,0 days 00:10:23.067389255
2022-02,23,Saturday,3487,0 days 00:10:30.043303699
2022-02,23,Sunday,2159,0 days 00:09:54.440018527
2022-02,23,Thursday,2851,0 days 00:10:43.137495615
2022-02,23,Tuesday,2577,0 days 00:10:24.530849825
2022-02,23,Wednesday,3260,0 days 00:10:42.077914110
2022-03,0,Friday,2363,0 days 00:10:32.201015658
2022-03,0,Monday,1640,0 days 00:10:27.455487804
2022-03,0,Saturday,5048,0 days 00:12:13.455031695
2022-03,0,Sunday,3853,0 days 00:11:47.742538281
2022-03,0,Thursday,2494,0 days 00:10:18.289494787
2022-03,0,Tuesday,2005,0 days 00:10:34.653865336
2022-03,0,Wednesday,2615,0 days 00:10:45.330019120
2022-03,1,Friday,1314,0 days 00:10:46.845509893
2022-03,1,Monday,860,0 days 00:10:26.906976744
2022-03,1,Saturday,3631,0 days 00:11:37.959790691
2022-03,1,Sunday,2949,0 days 00:12:06.965072906
2022-03,1,Thursday,1185,0 days 00:10:32.698734177
2022-03,1,Tuesday,868,0 days 00:10:16.463133640
2022-03,1,Wednesday,1210,0 days 00:10:56.171074380
2022-03,2,Friday,647,0 days 00:10:16.652241112
2022-03,2,Monday,535,0 days 00:12:02.151401869
2022-03,2,Saturday,2680,0 days 00:11:39.936567164
2022-03,2,Sunday,1918,0 days 00:11:56.988008342
2022-03,2,Thursday,811,0 days 00:09:47.891491985
2022-03,2,Tuesday,627,0 days 00:11:01.004784688
2022-03,2,Wednesday,843,0 days 00:10:24.072360616
2022-03,3,Friday,532,0 days 00:09:59.285714285
2022-03,3,Monday,374,0 days 00:10:56.601604278
2022-03,3,Saturday,1609,0 days 00:11:13.943443132
2022-03,3,Sunday,1541,0 days 00:11:22.342634652
2022-03,3,Thursday,533,0 days 00:08:34.669793621
2022-03,3,Tuesday,424,0 days 00:09:06.183962264
2022-03,3,Wednesday,478,0 days 00:09:35.792887029
2022-03,4,Friday,684,0 days 00:08:36.956140350
2022-03,4,Monday,576,0 days 00:08:28.026041666
2022-03,4,Saturday,1011,0 days 00:11:13.682492581
2022-03,4,Sunday,989,0 days 00:10:41.350859453
2022-03,4,Thursday,634,0 days 00:08:49.212933753
2022-03,4,Tuesday,679,0 days 00:08:19.057437407
2022-03,4,Wednesday,733,0 days 00:08:18.687585266
2022-03,5,Friday,1889,0 days 00:08:38.775542615
2022-03,5,Monday,1969,0 days 00:08:42.879634332
2022-03,5,Saturday,711,0 days 00:09:41.541490857
2022-03,5,Sunday,707,0 days 00:10:10.534653465
2022-03,5,Thursday,2184,0 days 00:08:17.992673992
2022-03,5,Tuesday,2635,0 days 00:08:32.524478178
2022-03,5,Wednesday,2589,0 days 00:08:36.480880648
2022-03,6,Friday,5816,0 days 00:09:16.420048143
2022-03,6,Monday,6248,0 days 00:09:23.154289372
2022-03,6,Saturday,1637,0 days 00:09:38.334147831
2022-03,6,Sunday,1630,0 days 00:09:48.954601226
2022-03,6,Thursday,7308,0 days 00:09:00.640667761
2022-03,6,Tuesday,8646,0 days 00:09:14.109530418
2022-03,6,Wednesday,8185,0 days 00:09:04.136469150
2022-03,7,Friday,12359,0 days 00:10:22.650942632
2022-03,7,Monday,13243,0 days 00:10:39.919353620
2022-03,7,Saturday,3267,0 days 00:09:56.481175390
